50.0;[['01000015e0e6b04a', '2013-09-05 15:29:56+02', 'occupied']]
11.0;[['01000015e0e6b04a', '2013-09-05 15:30:07+02', 'available']]
30.0;[['01000015e0e6b04a', '2013-09-05 15:30:37+02', 'occupied']]
430.0;[['01000015e0fefd37', '2013-09-05 15:37:47+02', 'occupied']]
8.0;[['01000015e0e389e3', '2013-09-05 15:37:55+02', 'available']]
2.0;[['01000015e0fefd37', '2013-09-05 15:37:57+02', 'available']]
30.0;[['01000015e0fefd37', '2013-09-05 15:38:27+02', 'occupied']]
21.0;[['01000015e0fefd37', '2013-09-05 15:38:48+02', 'available']]
139.0;[['01000015e0e389e3', '2013-09-05 15:41:07+02', 'occupied']]
478.0;[['01000015e0fefd37', '2013-09-05 15:49:05+02', 'occupied']]
48.0;[['01000015e0f0fffb', '2013-09-05 15:49:53+02', 'available']]
81.0;[['01000015e0f0fffb', '2013-09-05 15:51:14+02', 'occupied']]
61.0;[['01000015e0f0fffb', '2013-09-05 15:52:15+02', 'available']]
61.0;[['01000015e0f0fffb', '2013-09-05 15:53:16+02', 'occupied']]
38.0;[['01000015e0eefbf9', '2013-09-05 15:53:54+02', 'available']]
76.0;[['01000015e0fefd37', '2013-09-05 15:55:10+02', 'available']]
10.0;[['01000015e0fefd37', '2013-09-05 15:55:20+02', 'occupied']]
56.0;[['01000015e0eefbf9', '2013-09-05 15:56:16+02', 'occupied']]
372.0;[['01000015e102f32c', '2013-09-05 16:02:28+02', 'available']]
20.0;[['01000015e102f32c', '2013-09-05 16:02:48+02', 'occupied']]
131.0;[['01000015e0e91f5d', '2013-09-05 16:04:59+02', 'available']]
172.0;[['01000015e0e91f5d', '2013-09-05 16:07:51+02', 'occupied']]
56.0;[['01000015e0fcedef', '2013-09-05 16:08:47+02', 'available']]
21.0;[['01000015e0fcedef', '2013-09-05 16:09:08+02', 'occupied']]
524.0;[['01000015e0e6b04a', '2013-09-05 16:17:52+02', 'available']]
102.0;[['01000015e0e6b04a', '2013-09-05 16:19:34+02', 'occupied']]
33.0;[['01000015e0ec5402', '2013-09-05 16:20:07+02', 'available']]
152.0;[['01000015e0ec5402', '2013-09-05 16:22:39+02', 'occupied']]
1208.0;[['01000015e102f32c', '2013-09-05 16:42:47+02', 'available']]
27.0;[['01000015e0f67542', '2013-09-05 16:43:14+02', 'available']]
4.0;[['01000015e102f32c', '2013-09-05 16:43:18+02', 'occupied']]
27.0;[['01000015e0f67542', '2013-09-05 16:43:45+02', 'occupied']]
288.0;[['01000015e0f0fffb', '2013-09-05 16:48:33+02', 'available']]
40.0;[['01000015e0f0fffb', '2013-09-05 16:49:13+02', 'occupied']]
117.0;[['01000015e0e91f5d', '2013-09-05 16:51:10+02', 'available']]
11.0;[['01000015e0e91f5d', '2013-09-05 16:51:21+02', 'occupied']]
181.0;[['01000015e0f162cd', '2013-09-05 16:54:22+02', 'available']]
20.0;[['01000015e0f162cd', '2013-09-05 16:54:42+02', 'occupied']]
425.0;[['01000015e0f162cd', '2013-09-05 17:01:47+02', 'available']]
21.0;[['01000015e0f162cd', '2013-09-05 17:02:08+02', 'occupied']]
122.0;[['01000015e0e91f5d', '2013-09-05 17:04:10+02', 'available']]
51.0;[['01000015e0e91f5d', '2013-09-05 17:05:01+02', 'occupied']]
756.0;[['01000015e0f162cd', '2013-09-05 17:17:37+02', 'available']]
335.0;[['01000015e0f162cd', '2013-09-05 17:23:12+02', 'occupied']]
509.0;[['01000015e0f0fffb', '2013-09-05 17:31:41+02', 'occupied']]
35.0;[['01000015e0f0fffb', '2013-09-05 17:32:16+02', 'available']]
30.0;[['01000015e0f0fffb', '2013-09-05 17:32:46+02', 'available']]
223.0;[['01000015e0f0fffb', '2013-09-05 17:36:29+02', 'occupied']]
1303.0;[['01000015e0ef0a71', '2013-09-05 17:58:12+02', 'available']]
10.0;[['01000015e0ef0a71', '2013-09-05 17:58:22+02', 'occupied']]
686.0;[['01000015e0fefd37', '2013-09-05 18:09:48+02', 'available']]
81.0;[['01000015e0fefd37', '2013-09-05 18:11:09+02', 'occupied']]
100.0;[['01000015e0eefbf9', '2013-09-05 18:12:49+02', 'occupied']]
10.0;[['01000015e0eefbf9', '2013-09-05 18:12:59+02', 'available']]
141.0;[['01000015e0f0fffb', '2013-09-05 18:15:20+02', 'available']]
63.0;[['01000015e102f32c', '2013-09-05 18:16:23+02', 'available']]
26.0;[['01000015e0f0fffb', '2013-09-05 18:16:49+02', 'occupied']]
116.0;[['01000015e102f32c', '2013-09-05 18:18:45+02', 'occupied']]
1150.0;[['01000015e0f162cd', '2013-09-05 18:37:55+02', 'available']]
290.0;[['01000015e0e6b04a', '2013-09-05 18:42:45+02', 'available']]
123.0;[['01000015e10132ca', '2013-09-05 18:44:48+02', 'available']]
31.0;[['01000015e10132ca', '2013-09-05 18:45:19+02', 'occupied']]
